domain,combined_score,category,category_label,pc1_score,llm_score,iffy_tier,sources
albertaviews.ca,0.8172,5,High,0.8172,,,pc1
albertleatribune.com,0.6489,4,Moderately High,0.6233,0.7000,,pc1+llm
albusinessdaily.com,0.3835,2,Low,0.3835,,,pc1
alcyonpleiadi.blogspot.it,0.2840,2,Low,0.2840,,,pc1
aldergrovestar.com,0.6558,4,Moderately High,0.6558,,,pc1
aldf.com,0.5837,3,Mixed,0.5837,,,pc1
aldianews.com,0.5618,3,Mixed,0.5618,,,pc1
aldipest.com,0.1971,1,Very Low,0.1971,,,pc1
alec.org,0.6091,4,Moderately High,0.6136,0.6000,,pc1+llm
aledotimesrecord.com,0.6923,4,Moderately High,0.6923,,,pc1
alertchild.com,0.2267,2,Low,0.2267,,,pc1
aleteia.org,0.6218,4,Moderately High,0.5827,0.7000,,pc1+llm
alexanderhiggins.com,0.4103,3,Mixed,0.4405,,4,pc1+iffy
alexcityoutlook.com,0.5867,3,Mixed,0.5300,0.7000,,pc1+llm
alexpoucher.com,0.6477,4,Moderately High,0.6477,,,pc1
algemeiner.com,0.7153,4,Moderately High,0.7729,0.6000,,pc1+llm
alguer.it,0.7011,4,Moderately High,0.7011,,,pc1
alicetx.com,0.7573,4,Moderately High,0.7573,,,pc1
aljazeera.com,0.7695,4,Moderately High,0.7793,0.7500,,pc1+llm
all-in.de,0.6837,4,Moderately High,0.6837,,,pc1
all-news.tv,0.2463,2,Low,0.2463,,,pc1
allaboutusa.pro,0.2537,2,Low,0.2537,,,pc1
allafrica.com,0.8141,5,High,0.8712,0.7000,,pc1+llm
allamericannews.pro,0.5191,3,Mixed,0.5191,,,pc1
allcuteallthetime.com,0.5679,3,Mixed,0.5679,,,pc1
alleanzadellasalute.info,0.2439,2,Low,0.2439,,,pc1
alleghenyhighlandstoday.com,0.5188,3,Mixed,0.5188,,,pc1
allenbwest.com,0.5318,3,Mixed,0.6477,0.3000,,pc1+llm
allenwestrepublic.com,0.4437,3,Mixed,0.4437,,,pc1
allfortennessee.com,0.5604,3,Mixed,0.5604,,,pc1
allgemeine-zeitung.de,0.6103,4,Moderately High,0.5155,0.8000,,pc1+llm
allgov.com,0.7780,4,Moderately High,0.8169,0.7000,,pc1+llm
allianceforadvancedhealth.com,0.2097,2,Low,0.1396,,4,pc1+iffy
allianceforscience.cornell.edu,0.8892,5,High,0.8892,,,pc1
alliednews.com,0.5850,3,Mixed,0.5850,,,pc1
alliedprogress.org,0.8427,5,High,0.8427,,,pc1
allnews24.eu,0.4724,3,Mixed,0.4724,,,pc1
allnews4us.com,0.3806,2,Low,0.3806,,,pc1
allnewspipeline.com,0.1520,1,Very Low,0.1290,0.2000,2,pc1+llm+iffy
allodocteurs.fr,0.6557,4,Moderately High,0.5836,0.8000,,pc1+llm
allpoliticalnews.com,0.5328,3,Mixed,0.5328,,,pc1
allsides.com,0.7106,4,Moderately High,0.7158,0.7000,,pc1+llm
allstokedup.com,0.8320,5,High,0.8320,,,pc1
allthatsfab.com,0.5333,3,Mixed,0.5333,,,pc1
allthatsinteresting.com,0.6512,4,Moderately High,0.6768,0.6000,,pc1+llm
allucanheat.com,0.6893,4,Moderately High,0.7339,0.6000,,pc1+llm
almanar.com.lb,0.4218,3,Mixed,0.4826,0.3000,,pc1+llm
almasdarnews.com,0.3281,2,Low,0.3421,0.3000,,pc1+llm
alnas.fr,0.5767,3,Mixed,0.5767,,,pc1
alohastatenews.com,0.3523,2,Low,0.3535,,4,pc1+iffy
alphaaware.com,0.7938,4,Moderately High,0.7938,,,pc1
alphanews.org,0.3018,2,Low,0.3776,,2,pc1+iffy
alphanewsmn.com,0.2373,2,Low,0.2497,0.3000,2,pc1+llm+iffy
alreporter.com,0.7808,4,Moderately High,0.8712,0.6000,,pc1+llm
alt-market.com,0.2732,2,Low,0.2598,0.3000,,pc1+llm
altdrudge.com,0.6378,4,Moderately High,0.6378,,,pc1
alterinfo.net,0.2312,2,Low,0.2467,0.2000,,pc1+llm
altermedzentrum.com,0.1623,1,Very Low,0.2185,,1,pc1+iffy
alternative-science.com,0.3828,2,Low,0.3828,,,pc1
alternativelyfacts.com,0.4369,3,Mixed,0.4369,,,pc1
alternativemediasyndicate.com,0.2463,2,Low,0.2463,,,pc1
alternativemediasyndicate.net,0.2438,2,Low,0.2438,,,pc1
alternativemedicine.news,0.2439,2,Low,0.2439,,,pc1
alternativenews.com,0.0915,1,Very Low,0.0623,,2,pc1+iffy
alternatives-economiques.fr,0.5899,3,Mixed,0.5348,0.7000,,pc1+llm
alternativesante.fr,0.4544,3,Mixed,0.4544,,,pc1
alternet.org,0.4855,3,Mixed,0.4282,0.6000,,pc1+llm
althealthworks.com,0.2026,2,Low,0.1802,0.3000,2,pc1+llm+iffy
altleft.news,0.2100,2,Low,0.2900,,1,pc1+iffy
altnews.in,0.7320,4,Moderately High,0.6980,0.8000,,pc1+llm
altnewsmedia.net,0.6431,4,Moderately High,0.6431,,,pc1
altnewsonline.com,0.3035,2,Low,0.3035,,,pc1
altoadige.it,0.5366,3,Mixed,0.5366,,,pc1
altoday.com,0.9053,5,High,0.9053,,,pc1
altoonamirror.com,0.5781,3,Mixed,0.5172,0.7000,,pc1+llm
altoonatimes.com,0.6461,4,Moderately High,0.6461,,,pc1
altrarealta.blogspot.it,0.2653,2,Low,0.2653,,,pc1
altright.com,0.2035,2,Low,0.2552,0.1000,,pc1+llm
altrighttv.com,0.1827,1,Very Low,0.1990,,2,pc1+iffy
aluminum.news,0.2590,2,Low,0.2590,,,pc1
alynews.com,0.2164,2,Low,0.2164,,,pc1
